name,mcg,gvh,lip,chg,aac,alm1,alm2,target
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
DDLB_ECOLI,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
NLPE_ECOLI,0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
FTSN_ECOLI,0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
CYOA_ECOLI,0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
SLP_ECOLI,0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
TOLA_ECOLI,0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
MULI_ECOLI,0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
